vendor_id,vendor_name,gstin,state,business_type,gst_status,registration_date,compliance_rating
VND00033,Gutierrez Inc,23XZ9I49DGP4IZ8,Tennessee,Service,Active,2024-10-16,60
VND00034,Bradley Group,23VQ6R9AJPSXLZ2,Alaska,Manufacturer,Suspended,2025-08-28,71
VND00035,"Romero, Maddox and Davis",333453Y8PRTJHZ7,Nevada,Service,Active,2018-09-20,97
VND00036,Brown-Watts,27FMO036EIQAXZ4,Montana,Manufacturer,Active,2022-12-16,44
VND00037,Fox-Gonzales,25AOME4C3S9RQZ1,Michigan,Service,Cancelled,2025-01-08,67
VND00038,Luna Inc,10IQNUHKQPJDYZ9,North Carolina,Trader,Active,2018-08-11,44
VND00039,"Jackson, Lewis and Terrell",1226ARWWIUBPRZ7,Tennessee,Manufacturer,Active,2021-09-28,37
VND00040,"Eaton, Hanson and Rivas",11I5NF3HN5OLMZ3,North Dakota,Service,Active,2020-09-19,87
VND00041,Gonzales-Gates,11R9LC9PH0WP6Z2,Minnesota,Trader,Active,2022-01-07,64
VND00042,Gilbert-Camacho,32GFYYC92XLDLZ4,Minnesota,Service,Active,2019-02-20,75
VND00043,White and Sons,34EZB0U0BMGTQZ7,Alaska,Service,Cancelled,2018-03-30,45
VND00044,Davis-Wright,14JR3QTXZ9S5XZ1,Rhode Island,Service,Active,2023-06-01,34
VND00045,"Sutton, Duncan and Mathis",31N2D7EAL5U2EZ3,Louisiana,Trader,Active,2022-01-21,56
VND00046,"Robertson, Frank and Avila",36NOBUHE3JPS7Z9,New Jersey,Service,Active,2020-01-18,41
VND00047,Hendricks Group,22028SHETXTRRZ6,Washington,Manufacturer,Active,2018-07-13,67
VND00048,"Ingram, Crawford and Parks",15DY227DPFYWSZ9,Arkansas,Service,Active,2023-04-10,24
VND00049,Dean-Anderson,3433V8LE4QX52Z2,Hawaii,Manufacturer,Active,2024-11-27,47
VND00050,Martinez LLC,109OVH6JYY8RTZ1,Nevada,Trader,Active,2022-12-14,83
VND00051,"Jenkins, Yang and Ryan",37YHSTLF7NTLRZ9,Alabama,Manufacturer,Cancelled,2025-03-27,66
VND00052,Russo PLC,29RLQHUOIO88EZ2,Alabama,Manufacturer,Active,2020-07-25,61
VND00053,Smith Ltd,11DJB3DEJNEW1Z3,Alaska,Manufacturer,Active,2021-10-09,2
VND00054,Macias-Atkinson,268WZRUDC71EQZ4,Florida,Manufacturer,Active,2020-10-09,48
VND00055,"Jackson, Price and Keller",17YAP3XWNQNMTZ3,Vermont,Trader,Cancelled,2023-12-07,86
VND00056,"Burgess, Velasquez and Vaughan",33K1F831MF8B3Z4,Kentucky,Service,Active,2018-05-01,6
VND00057,"Daniels, Green and Gay",26VF9Q90CXLPUZ6,Florida,Trader,Active,2026-03-23,65
VND00058,Garcia-Allen,13I5LONGP0FM5Z2,Idaho,Service,Active,2022-07-10,64
VND00059,"Dean, Rodriguez and Rodriguez",32K3S55JECVN3Z4,Rhode Island,Manufacturer,Active,2023-09-22,17
VND00060,Bryant-Boyd,11PF1H5NXFWVYZ4,Arizona,Trader,Active,2024-09-24,63
VND00061,Grant Ltd,210UI5KL71VR1Z1,Colorado,Manufacturer,Active,2018-08-29,39
VND00062,"Brooks, Smith and Stafford",32E6B2GW0NRU7Z6,Oregon,Service,Active,2019-01-09,28
VND00063,"Gibson, Juarez and Johnson",199CLU5V1VM99Z4,Kansas,Manufacturer,Active,2023-02-08,19
VND00064,Downs Group,32W3Q9OX975IXZ3,West Virginia,Service,Active,2018-10-04,38
VND00065,"Carlson, King and Oliver",24FS6LOQRSWF7Z7,Nebraska,Service,Active,2024-12-11,37
VND00066,Banks LLC,21H0YX9AQ995IZ4,Montana,Manufacturer,Cancelled,2018-09-03,38
VND00067,Buchanan Group,27W1VFZDXX96JZ6,Wyoming,Trader,Active,2023-10-14,67
VND00068,Salazar-Coleman,30CS1LGDQVIPLZ5,New Jersey,Trader,Active,2020-04-04,36
VND00069,Sanchez-Ramos,28LILUKFWJTFNZ5,Massachusetts,Service,Active,2020-12-26,93
VND00070,Tucker LLC,208UBX5QK8JR2Z5,Oklahoma,Manufacturer,Active,2023-10-28,32
VND00071,Matthews-Richards,24OCUCEMT5Y8MZ1,Mississippi,Service,Active,2020-06-18,83
VND00072,"Gross, Joseph and Scott",132JRHVDY6C3IZ8,West Virginia,Manufacturer,Active,2025-04-30,47
VND00073,Nelson Inc,18KAXKSAKCAVOZ1,Kansas,Service,Active,2023-08-19,54
VND00074,Fernandez-Smith,271VFV5BSET05Z6,Ohio,Manufacturer,Active,2023-05-06,60
VND00075,"Zimmerman, Nelson and Garcia",18CZYTRF00RRJZ5,Oklahoma,Manufacturer,Cancelled,2022-03-13,91
VND00076,Robinson-Navarro,27L9ZO6BD2Y27Z4,Louisiana,Service,Active,2025-11-02,62
VND00077,Franco-Stewart,36MFTXABM8QRFZ2,New Jersey,Trader,Active,2018-11-14,98
VND00078,Pitts PLC,334IQ4ROXHC6VZ7,West Virginia,Service,Active,2023-03-13,34
VND00079,Jones-Robinson,35JFUVZCARC51Z9,Washington,Service,Active,2025-11-28,11
VND00080,"Howe, Johnson and Burnett",24FPCJMUCFKHDZ7,Texas,Trader,Active,2023-05-06,50
VND00081,Jones PLC,3649UWNY359M4Z2,Arkansas,Service,Active,2024-12-31,38
VND00082,"Yoder, Ewing and Mitchell",144TAP1C63M1WZ9,New Hampshire,Manufacturer,Active,2022-11-10,36
VND00083,"Rodriguez, Holland and Hill",17GGZVOV6I6ELZ1,Oklahoma,Trader,Active,2023-06-13,67
VND00084,Friedman Inc,20QFBK5QPG6W9Z3,Montana,Service,Active,2022-11-27,43
VND00085,"Gilmore, Fischer and Logan",15WKM9W5SRDAVZ9,Rhode Island,Trader,Active,2018-07-01,24
VND00086,"Warren, Martin and Webb",3494GJTCPQVG2Z4,Nebraska,Manufacturer,Active,2021-04-02,45
VND00087,Henson-Parker,16TO3VECQ3866Z5,Utah,Manufacturer,Active,2023-04-01,71
VND00088,"George, Morgan and Elliott",33M81A0W9B0U7Z1,South Dakota,Service,Suspended,2020-12-07,56
VND00089,"Douglas, Castro and Beck",15OPM4QANHQSVZ9,Idaho,Manufacturer,Active,2024-06-28,12
VND00090,Miller-Glover,3118S7F41QGHVZ4,Georgia,Service,Active,2018-04-01,35
VND00091,Lopez Ltd,16T1AWJ3ACDFVZ7,Michigan,Manufacturer,Active,2023-03-12,58
VND00092,Smith-David,3369MPF6THSVSZ3,New Hampshire,Service,Active,2022-11-17,29
VND00093,"Rasmussen, Roach and Nguyen",23D1JJH1FPI1CZ3,Vermont,Manufacturer,Active,2023-09-25,14
VND00094,"Barr, Williams and Adams",10NM5FQF8H7BZZ9,Nebraska,Trader,Active,2020-02-03,35
VND00095,Miranda Inc,26KDF0VGOIJ8SZ6,Montana,Service,Active,2019-02-10,92
VND00096,Vargas PLC,19HLPN2Q8UY2VZ3,Virginia,Service,Cancelled,2021-02-15,9
VND00097,Fleming Group,37VMKVCKOYIHEZ2,Utah,Manufacturer,Active,2019-07-24,30
VND00098,Rogers LLC,30PD4EIGRXBRDZ9,Georgia,Trader,Active,2025-09-22,77
VND00099,Frazier-York,30UPDW0GEY3UJZ1,New Mexico,Service,Cancelled,2023-10-17,62
VND00100,Jones PLC,33EEWQB3J6H31Z5,Maine,Trader,Active,2018-08-29,7
VND00101,Taylor LLC,360CME9BJIXGMZ2,Louisiana,Trader,Active,2020-06-19,9
VND00102,Thompson-Martinez,247TNLPOBA4J6Z2,Missouri,Manufacturer,Active,2023-03-14,69
VND00103,Davis-Walker,230BX2PZURMFUZ3,Florida,Manufacturer,Active,2023-07-03,100
VND00104,Wagner Inc,28F7KETKX8YRXZ8,Arkansas,Service,Active,2020-11-18,10
VND00105,"Huber, Lopez and Gill",187LY7ZQDQ0E9Z8,Oregon,Manufacturer,Active,2026-02-16,70
VND00106,Miller Inc,27Y0600MK6REDZ1,Nevada,Trader,Active,2023-01-09,76
VND00107,Johnson Group,26GH7N7TBRNC8Z7,Utah,Trader,Active,2025-03-13,32
VND00108,Lane Ltd,359GHVL580AFSZ4,Tennessee,Manufacturer,Active,2019-09-28,5
VND00109,Andrade Group,13HX7GLOPE9PNZ9,Rhode Island,Service,Active,2019-10-14,58
VND00110,Chang Group,28QU9S1ZPJG4SZ6,Vermont,Manufacturer,Active,2020-06-18,73
VND00111,"Sanders, Maldonado and Hill",25G6G6E77DWP5Z7,Utah,Trader,Cancelled,2024-09-08,33
VND00112,Johnson-Harris,33VNHDSCD1HVCZ2,New Jersey,Service,Active,2018-06-06,82
VND00113,"Moreno, Wallace and Flores",31YRUIKFL157DZ9,New Jersey,Service,Active,2022-06-09,45
VND00114,"Ford, Williams and Henson",24TVI9N613A8KZ8,Florida,Manufacturer,Active,2021-03-24,54
VND00115,"Ray, Hunter and Hendrix",377WV1U92JREPZ1,Indiana,Manufacturer,Active,2020-02-11,43
VND00116,Friedman-French,15AZ5DTF3HL9KZ7,New Jersey,Service,Active,2024-03-06,69
VND00117,Mercado-Glass,24MNIECJ1RI9HZ5,Michigan,Manufacturer,Active,2026-03-18,43
VND00118,"Burns, Rodriguez and Mcintosh",120PBSYPH6G5ZZ1,Hawaii,Service,Suspended,2022-04-29,28
VND00119,Zuniga Inc,35SXHK8H7PCZAZ2,Pennsylvania,Trader,Active,2020-10-19,31
VND00120,Gonzalez-Franklin,11W0P6W5LVF6OZ5,Tennessee,Service,Active,2021-10-17,98
VND00121,Rowe LLC,132WPWNC6SZY4Z7,Idaho,Service,Active,2020-02-03,19
VND00122,"Huffman, Medina and Miller",2313TEAPT1FEZZ5,Colorado,Trader,Active,2024-01-30,76
VND00123,Martinez-Goodman,12HDI4CRI7W86Z6,Maryland,Manufacturer,Active,2023-05-24,40
VND00124,Gomez-Rice,11TS0A8LAUXWHZ1,Alaska,Manufacturer,Suspended,2024-01-05,50
VND00125,"Vasquez, Ward and Rios",342LSI1LC8D8PZ4,Montana,Trader,Active,2020-03-12,54
VND00126,Logan-Pierce,3402DZXIGMMWXZ6,Connecticut,Service,Active,2026-02-03,4
VND00127,Smith-Cabrera,33LPD46EI199UZ8,West Virginia,Manufacturer,Active,2023-01-04,37
VND00128,Rodriguez-Thompson,10X4LXB0XP5E4Z8,Arizona,Trader,Active,2020-08-11,100
VND00129,Cole LLC,20FJQQPUXX3TXZ8,Maine,Service,Active,2019-03-11,45
VND00130,Brady Ltd,228HAIMVM8CXBZ4,New Hampshire,Manufacturer,Active,2018-08-17,62
VND00131,Jenkins Group,231J75QVKR448Z9,Maine,Service,Active,2019-06-23,66
VND00132,Hutchinson LLC,32CU7KBSUNZ56Z6,Maryland,Trader,Active,2025-08-20,75
VND00133,Ellis-Smith,3302VWX88C2LSZ4,West Virginia,Service,Active,2023-01-04,48
VND00134,"Torres, Cox and Anderson",235WTDP2N0GQRZ6,Arkansas,Service,Active,2026-03-23,39
VND00135,Rodriguez-Rowe,150S1KZ2YS5VRZ4,New Jersey,Trader,Active,2021-05-28,14
VND00136,Hobbs-Castillo,30KHRYX5AQOMIZ5,Minnesota,Service,Active,2019-10-11,12
VND00137,Mueller-King,105H3YGBQ8U7SZ7,Georgia,Service,Active,2019-09-11,33
VND00138,Bell-Garcia,11T8B1XQLVWZLZ3,Rhode Island,Manufacturer,Suspended,2020-03-08,29
VND00139,Weiss PLC,245JLSQ034WCUZ9,New Mexico,Service,Active,2024-09-06,55
VND00140,Perry-Ferrell,29JDK7JLS1B5MZ6,Pennsylvania,Manufacturer,Active,2021-06-26,27
VND00141,"Williamson, Anderson and Nguyen",13HWAPJ7RJS7TZ7,Mississippi,Service,Active,2025-05-14,37
VND00142,Hicks-Santiago,30J3CGHDFOAK2Z9,Ohio,Trader,Active,2022-12-23,59
VND00143,Moore-Smith,327RRLMZMIZQQZ3,Indiana,Trader,Active,2018-10-03,8
VND00144,Johnson-Gallagher,165BU5ZQSUXPGZ9,Connecticut,Manufacturer,Suspended,2024-01-13,84
VND00145,"Ortiz, Norton and Grant",24UXOPXWCFJKIZ3,West Virginia,Trader,Active,2019-09-23,98
VND00146,Pitts-Henry,14CFC4C6KH99MZ4,Virginia,Manufacturer,Active,2024-04-05,61
VND00147,Jackson Ltd,175E1ILPGGJILZ3,Florida,Service,Active,2025-10-26,38
VND00148,Miller Group,3411GJO2UBDSJZ7,Washington,Trader,Active,2021-10-23,37
VND00149,Quinn LLC,28XNS2W1QYGUQZ1,Illinois,Manufacturer,Active,2023-11-10,61
VND00150,Rodriguez-Glenn,229R3NN3AB89UZ5,New Hampshire,Manufacturer,Active,2023-10-18,97
VND00151,"Gonzalez, Glenn and Schneider",10Z9YK9M7N6PWZ4,Utah,Manufacturer,Active,2026-03-21,83
VND00152,Jones PLC,351J7IXH3D3XLZ8,Kentucky,Manufacturer,Active,2024-06-07,50
VND00153,Garrett-Benton,13WYS7STOFAC1Z9,New Jersey,Service,Active,2024-03-03,39
VND00154,"Medina, Davidson and Gilbert",25ZYN4OJA17ODZ2,Louisiana,Manufacturer,Active,2025-03-26,65
VND00155,Morrison-Wilson,15ST5585TFL98Z5,Maine,Service,Active,2021-06-30,41
VND00156,Bryant Inc,342YBPOK4RM2JZ6,Nebraska,Trader,Suspended,2021-05-08,60
VND00157,Zuniga-Riley,181U9N2WDKBSHZ5,Arizona,Service,Active,2023-03-11,43
VND00158,"Dixon, Miller and Hodge",258SEF3JFWH3PZ3,Maryland,Trader,Active,2020-09-18,16
VND00159,Lang-Hunt,18UTTIY12GQ84Z7,Indiana,Trader,Active,2023-08-23,45
VND00160,Marshall Group,13U3AFTETNZF3Z6,Missouri,Manufacturer,Active,2021-06-16,43
VND00161,Jordan Inc,28RZRD006HZKSZ6,Idaho,Trader,Active,2019-07-03,69
VND00162,"Munoz, Campbell and Fuller",20XDSBSVYRO0EZ1,Maine,Service,Active,2023-09-22,16
VND00163,"Cooper, Levy and Phillips",23J7TT3GJCV9AZ2,Massachusetts,Service,Active,2020-06-08,67
VND00164,"Adams, Ewing and James",345TE8RQPB3ZAZ8,Pennsylvania,Manufacturer,Active,2024-04-11,44
VND00165,Brown-Lindsey,130DYUYY1DEWEZ2,Ohio,Manufacturer,Active,2024-08-06,24
VND00166,Oconnor-Wilson,130CMH4T41CBRZ6,Indiana,Trader,Active,2023-11-13,0
VND00167,"Roberts, Norton and Owens",24FWG6C7NB39HZ7,New Jersey,Trader,Cancelled,2025-07-26,47
VND00168,Collier-Hall,10R3KR0IJFKZKZ3,Hawaii,Service,Active,2022-08-06,25
VND00169,"Mason, Harrison and Romero",10E2KAW9FPYC5Z5,California,Trader,Active,2021-11-16,14
VND00170,Mcdonald Group,13X6XUBGMDXK3Z3,Arkansas,Manufacturer,Active,2022-05-24,54
VND00171,"Berry, Martin and Clarke",17SM8M6Q3QFS2Z2,Missouri,Manufacturer,Active,2024-04-09,57
VND00172,"Simpson, Huber and Gross",162K9B9ITUH4CZ9,Florida,Service,Active,2021-05-28,96
VND00173,Reyes-West,13ZM1N6EY3HYXZ5,Florida,Manufacturer,Active,2025-09-08,31
VND00174,Delgado-Webb,125BO2RG8E8I4Z1,South Dakota,Service,Active,2019-09-29,55
VND00175,"Walker, Valdez and Zavala",32NXG6PM6SBI6Z3,Oregon,Service,Cancelled,2020-02-14,36
VND00176,Shaffer Inc,31LDVLN7HP6UEZ5,Ohio,Trader,Active,2021-11-20,54
VND00177,"Martinez, Perez and Ramos",26H1KIHU7ZWVAZ3,Montana,Manufacturer,Active,2025-05-28,54
VND00178,Adams Ltd,128DPK9FWEK9CZ5,Michigan,Trader,Active,2018-12-14,26
VND00179,Snyder-Henry,16LY6BW5KZR2SZ1,South Carolina,Manufacturer,Suspended,2025-11-28,56
VND00180,"Jordan, Martin and Blevins",13NUNAVODYHXJZ2,Nebraska,Trader,Active,2021-09-22,26
VND00181,Kelley-Scott,21BL0QAJ54BMPZ7,Massachusetts,Manufacturer,Active,2019-05-21,77
VND00182,Stewart Inc,27FCS4KMS03TWZ9,Connecticut,Manufacturer,Suspended,2018-10-04,63
VND00183,Richardson PLC,15FUTIKSS0391Z8,New York,Manufacturer,Active,2020-08-01,70
VND00184,Garcia LLC,15NP4VHYKB25OZ5,Minnesota,Trader,Suspended,2020-06-10,92
VND00185,"Rice, Brandt and Lewis",11GMU2YAMK45AZ5,Montana,Service,Suspended,2021-02-18,36
VND00186,Miller Ltd,34414B35MC36OZ9,New Hampshire,Manufacturer,Active,2025-09-23,25
VND00187,Williams-Brewer,18C80TF7PQ68ZZ3,California,Service,Active,2018-06-22,45
VND00188,Whitehead-Robinson,2744Q95B5AWHGZ2,Idaho,Trader,Active,2023-11-04,1
VND00189,"Torres, Scott and Clark",16A2TBU5WJZ4MZ4,Missouri,Trader,Active,2022-02-19,16
VND00190,"Thomas, Holmes and Banks",28KXB4720VI9EZ4,Iowa,Trader,Suspended,2021-05-23,63
VND00191,Allen-Jones,36X6R92ZY8IAWZ3,Vermont,Service,Active,2023-02-15,68
VND00192,"Mccall, Lane and Johnson",20FKTK2SVPJS7Z7,New Mexico,Service,Active,2021-12-04,58
VND00193,Camacho Group,31XSB2GXHQ87TZ6,Iowa,Trader,Active,2021-03-01,43
VND00194,"Haynes, Jacobson and Smith",36KDP5TZBVBOBZ7,Louisiana,Trader,Active,2023-09-18,30
VND00195,Johnson Group,17PJG54LTBLERZ2,Arkansas,Trader,Active,2026-03-09,91
VND00196,"Strong, Craig and Johnson",36CDNTD7WLZLLZ9,Michigan,Manufacturer,Active,2022-12-10,38
VND00197,Fox-Hernandez,35A2KT7SANYQ3Z7,Wisconsin,Manufacturer,Active,2019-02-08,13
VND00198,Smith-Beasley,21U1NQT6ZOH0EZ8,Texas,Manufacturer,Active,2025-01-24,94
VND00199,Dyer-Moran,21UQ2T1BETVQYZ1,Wyoming,Manufacturer,Suspended,2018-06-15,62
VND00200,"Thomas, Wong and Graham",15SEPG2NRGXZMZ7,Connecticut,Manufacturer,Active,2020-07-31,66
VND00201,Morris-Roberts,28M8IISDV5ME3Z4,Mississippi,Service,Active,2020-01-31,6
VND00202,"Thompson, Bailey and Hubbard",242SVEWYU65SWZ5,Maryland,Service,Active,2022-04-16,31
VND00203,Parker and Sons,133P9CTPCGNZNZ5,Hawaii,Manufacturer,Suspended,2024-03-21,10
VND00204,Wright Inc,27G8R8RF9FMFOZ2,Rhode Island,Service,Active,2023-05-17,97
VND00205,Garcia-Cooper,205PTE3G68MZNZ5,California,Service,Suspended,2025-02-07,10
VND00206,Vega-Tate,36GI65DQOL68IZ9,Georgia,Trader,Active,2019-01-18,2
VND00207,Anderson Inc,23XG1EHQ1UENLZ6,Mississippi,Service,Active,2023-11-10,24
VND00208,Richardson-Kaufman,17U006R1RWC38Z2,North Dakota,Manufacturer,Active,2021-12-30,20
VND00209,"Singleton, Wilson and Schneider",32RJCN9P5QLXAZ6,Nevada,Manufacturer,Suspended,2021-05-24,54
VND00210,Griffith-Murillo,13P9SYYTM6BCAZ8,New Mexico,Manufacturer,Active,2022-01-08,68
VND00211,Hall Ltd,20NPPQHN4T868Z9,Florida,Manufacturer,Active,2019-10-07,39
VND00212,"Carpenter, Thomas and Nunez",283QP6TXD7KZ3Z6,Arkansas,Manufacturer,Active,2023-12-04,74
VND00213,Davis-Davis,294PLJC1ZKCP1Z8,South Dakota,Manufacturer,Active,2019-07-29,24
VND00214,Palmer-Curtis,19YHOJ4CMED5HZ5,Indiana,Trader,Cancelled,2022-11-26,60
VND00215,Pope PLC,18MGOF1DYCXSOZ7,West Virginia,Service,Active,2022-03-23,89
VND00216,"Morris, Rice and Booker",32XF3E0N72O7CZ3,Wyoming,Service,Active,2019-05-28,69
VND00217,Carter-Ortega,14C46STAGA56BZ6,Ohio,Manufacturer,Active,2021-10-19,20
VND00218,Washington Ltd,182VQZAEDC5NZZ1,Georgia,Trader,Active,2021-06-20,29
VND00219,Miller-Yang,32LLEHR1KBZPGZ1,Wisconsin,Trader,Active,2021-12-19,36
VND00220,Lewis-Patel,32C39RXEGHJ5UZ4,Florida,Service,Active,2022-09-17,46
VND00221,White-Norton,2159BU73U5OH7Z1,New Hampshire,Trader,Active,2025-10-18,12
VND00222,"Nelson, Rogers and Watson",33NTTQ5NG2ZCLZ4,Louisiana,Trader,Active,2025-01-15,0
VND00223,Walker Group,13J67RRLEZ5VTZ8,Virginia,Service,Active,2022-07-24,31
VND00224,"Lambert, Young and Duran",23S2MDUC5Y78QZ2,Montana,Service,Active,2024-12-30,37
VND00225,"Gray, Anderson and Harris",3493Y2IJXZRLTZ2,California,Trader,Active,2020-05-08,84
VND00226,Bartlett-Davis,21H4ZEBA13B5HZ1,Vermont,Trader,Active,2022-07-04,64
VND00227,Kemp-Campbell,27QJANMO81AMAZ3,Ohio,Service,Active,2024-06-13,74
VND00228,Sullivan-Walker,154JWVABWQLKNZ1,Florida,Manufacturer,Active,2025-10-11,26
VND00229,Cabrera-Jennings,146HDEMYQ5ZHRZ3,Montana,Service,Active,2020-11-18,50
VND00230,Mann Inc,221T6CY1NTKJ8Z6,Hawaii,Manufacturer,Active,2018-04-06,20
VND00231,Snyder LLC,15UEDHA9Z1Z7UZ8,Maryland,Manufacturer,Active,2026-01-03,99
VND00232,Adams LLC,31R96X9QNYK8YZ9,Rhode Island,Service,Active,2024-09-02,66
VND00233,Alvarez-Lara,37EXR8P7G0F3YZ3,Arkansas,Service,Cancelled,2023-12-30,67
VND00234,Mathews-Hawkins,11JZH8I4DXYH8Z9,Arizona,Trader,Active,2020-05-09,92
VND00235,"Kirk, Murphy and Navarro",14WH5JCDJMN8KZ4,Maryland,Trader,Cancelled,2023-06-22,59
VND00236,Reese-Ramirez,14NXG3ZGLLEZAZ4,New Hampshire,Trader,Active,2020-04-09,54
VND00237,Armstrong-Koch,30KKBIL5KI76UZ5,Arkansas,Service,Active,2019-12-26,69
VND00238,Moore LLC,343JZOAAHWJWPZ1,Maine,Trader,Active,2020-02-08,39
VND00239,Gibson-Allen,35SSQNH552NGWZ2,Washington,Manufacturer,Active,2021-08-12,38
VND00240,"Gilbert, Oconnor and Wilkinson",2910WHDDVSX34Z9,Indiana,Manufacturer,Active,2018-08-12,40
VND00241,"Green, Terrell and Solomon",215A93AS3ZAKAZ6,Idaho,Manufacturer,Active,2025-09-09,92
VND00242,"Taylor, Allen and King",30MRU6L69LZCKZ7,Georgia,Trader,Active,2025-05-13,0
VND00243,"May, Vargas and Shaw",19ZAOP68KV817Z1,West Virginia,Trader,Active,2022-06-05,28
VND00244,Wagner LLC,14I0VBHIEZBJNZ8,Iowa,Manufacturer,Suspended,2018-07-10,1
VND00245,"Reese, Hines and Wood",23HNSJTW5LURVZ6,Wisconsin,Trader,Active,2021-06-22,75
VND00246,Collins Group,315DQKMD8BU1JZ2,Hawaii,Trader,Active,2020-04-23,54
VND00247,"Wells, Lowe and Hernandez",22SO4VYHB32ZKZ2,Massachusetts,Service,Active,2025-12-14,81
VND00248,Macdonald and Sons,18SDTAJTP1N66Z7,Texas,Service,Suspended,2024-08-06,66
VND00249,"Rodriguez, Fitzpatrick and Smith",24Y8BN2LGD1JBZ3,Mississippi,Service,Active,2025-05-16,53
VND00250,"Melton, Stone and Hurley",31FS4MDVNDFH4Z7,Massachusetts,Trader,Active,2021-09-16,50
VND00251,Anderson Group,21GCVTOADEMF7Z4,Utah,Manufacturer,Active,2022-11-03,80
VND00252,"Williams, Hart and Weaver",359E1JDQIND1FZ7,Illinois,Manufacturer,Active,2018-04-25,34
VND00253,"Ramos, White and Dyer",29FK7BQBZOQ0CZ6,Massachusetts,Manufacturer,Active,2018-09-03,1
VND00254,Schultz-Hopkins,32U0HWFHJP0I6Z8,Montana,Manufacturer,Active,2023-08-26,7
VND00255,"Frank, Martin and Curtis",214737L5PXG23Z9,South Carolina,Manufacturer,Active,2024-09-26,34
VND00256,Smith and Sons,35FL0YAJG5OZ1Z2,Alabama,Service,Cancelled,2022-12-20,66
VND00257,Fisher-Estrada,23RUXV8VS9ERRZ4,Illinois,Manufacturer,Active,2023-05-26,49
VND00258,"Pugh, Arnold and Bryan",29LQMNUNO1PFXZ5,Arkansas,Manufacturer,Suspended,2025-02-25,60
