vendor_id,tax_period,total_itc_claimed,itc_matched,itc_at_risk,leakage_percentage,aging_bucket
VND01816,2023-Q3,170997,119625,51372,30.04,0-30
VND01809,2023-Q3,105647,24958,80689,76.38,0-30
VND03182,2023-Q3,132649,64817,67832,51.14,31-60
VND03057,2023-Q2,414068,112714,301354,72.78,31-60
VND01463,2023-Q1,249934,245175,4759,1.9,31-60
VND04559,2023-Q2,80481,79426,1055,1.31,60+
VND02321,2023-Q1,261694,88847,172847,66.05,0-30
VND00956,2023-Q1,330656,278232,52424,15.85,60+
VND02037,2023-Q2,213816,193549,20267,9.48,60+
VND02678,2023-Q1,389396,332860,56536,14.52,31-60
VND00016,2023-Q1,311607,290292,21315,6.84,31-60
VND02941,2023-Q2,318598,86952,231646,72.71,31-60
VND01780,2023-Q3,223766,79087,144679,64.66,31-60
VND02827,2023-Q2,166878,122493,44385,26.6,0-30
VND04035,2023-Q1,218973,195496,23477,10.72,0-30
VND03674,2023-Q2,423249,268027,155222,36.67,60+
VND03020,2023-Q3,429428,267844,161584,37.63,0-30
VND04070,2023-Q1,84647,31538,53109,62.74,31-60
VND03834,2023-Q1,61263,34720,26543,43.33,0-30
VND04724,2023-Q2,205846,56516,149330,72.54,0-30
VND04050,2023-Q2,350321,121552,228769,65.3,0-30
VND01794,2023-Q1,242889,61041,181848,74.87,31-60
VND02118,2023-Q3,194474,60531,133943,68.87,31-60
VND03670,2023-Q2,230437,169660,60777,26.37,31-60
VND04756,2023-Q2,198337,55919,142418,71.81,0-30
VND02332,2023-Q2,330685,120389,210296,63.59,0-30
VND04039,2023-Q1,384808,176048,208760,54.25,31-60
VND03029,2023-Q2,60525,51198,9327,15.41,31-60
VND01679,2023-Q1,376556,265847,110709,29.4,31-60
VND00372,2023-Q1,188704,173853,14851,7.87,0-30
VND02220,2023-Q1,80557,27788,52769,65.51,31-60
VND02623,2023-Q1,83487,33915,49572,59.38,0-30
VND02496,2023-Q3,337100,68754,268346,79.6,31-60
VND04865,2023-Q3,471541,346574,124967,26.5,31-60
VND04116,2023-Q3,323234,163019,160215,49.57,60+
VND03397,2023-Q3,155783,150699,5084,3.26,0-30
VND02247,2023-Q1,431717,100695,331022,76.68,0-30
VND00645,2023-Q1,398424,105417,293007,73.54,60+
VND03160,2023-Q2,477104,116193,360911,75.65,31-60
VND01264,2023-Q1,483936,45103,438833,90.68,60+
VND04906,2023-Q3,164599,43462,121137,73.6,31-60
VND04968,2023-Q3,480831,118207,362624,75.42,0-30
VND01769,2023-Q2,58085,21905,36180,62.29,0-30
VND02602,2023-Q3,489768,175873,313895,64.09,31-60
VND03517,2023-Q1,314647,116645,198002,62.93,60+
VND01050,2023-Q2,158753,111275,47478,29.91,31-60
VND01473,2023-Q3,184092,183184,908,0.49,60+
VND00410,2023-Q1,486922,310822,176100,36.17,31-60
VND03644,2023-Q1,497382,395179,102203,20.55,0-30
VND01932,2023-Q3,427572,25091,402481,94.13,60+
VND03666,2023-Q3,187682,169017,18665,9.95,31-60
VND02884,2023-Q2,451089,301133,149956,33.24,60+
VND01158,2023-Q3,163936,120390,43546,26.56,0-30
VND00401,2023-Q1,200401,174461,25940,12.94,0-30
VND04026,2023-Q3,377021,240981,136040,36.08,60+
VND00015,2023-Q2,498203,275275,222928,44.75,60+
VND03053,2023-Q3,207289,78062,129227,62.34,31-60
VND04845,2023-Q2,409569,95966,313603,76.57,60+
VND01272,2023-Q3,313850,133213,180637,57.56,0-30
VND03490,2023-Q2,134947,83536,51411,38.1,0-30
VND02380,2023-Q2,239223,108627,130596,54.59,0-30
VND01169,2023-Q2,357179,300474,56705,15.88,0-30
VND04008,2023-Q1,336169,247862,88307,26.27,60+
VND00093,2023-Q3,292691,182325,110366,37.71,0-30
VND02336,2023-Q2,154032,87080,66952,43.47,60+
VND01298,2023-Q1,317081,306844,10237,3.23,60+
VND04582,2023-Q3,55901,53762,2139,3.83,60+
VND01770,2023-Q3,255448,45400,210048,82.23,0-30
VND02436,2023-Q3,289105,106580,182525,63.13,60+
VND01099,2023-Q2,315615,196470,119145,37.75,0-30
VND03030,2023-Q1,95359,29935,65424,68.61,31-60
VND04033,2023-Q1,267965,163423,104542,39.01,60+
VND01202,2023-Q1,61099,23956,37143,60.79,60+
VND00829,2023-Q2,161046,155846,5200,3.23,31-60
VND01838,2023-Q3,235804,25200,210604,89.31,60+
VND04959,2023-Q3,395367,306236,89131,22.54,60+
VND02332,2023-Q3,88182,57893,30289,34.35,31-60
VND03781,2023-Q3,205671,204820,851,0.41,31-60
VND01487,2023-Q3,304163,268821,35342,11.62,60+
VND04647,2023-Q1,299678,208544,91134,30.41,31-60
VND02308,2023-Q3,123694,53192,70502,57.0,31-60
VND04457,2023-Q2,158665,70845,87820,55.35,60+
VND01389,2023-Q2,173596,88016,85580,49.3,31-60
VND01439,2023-Q1,325402,277295,48107,14.78,0-30
VND02417,2023-Q2,168352,74477,93875,55.76,0-30
VND03199,2023-Q3,416896,70959,345937,82.98,0-30
VND03467,2023-Q1,221133,192521,28612,12.94,60+
VND04269,2023-Q2,100145,90223,9922,9.91,60+
VND02251,2023-Q2,174835,67426,107409,61.43,0-30
VND01545,2023-Q1,456372,38301,418071,91.61,60+
VND01265,2023-Q1,354123,192277,161846,45.7,0-30
VND04501,2023-Q1,68382,33208,35174,51.44,0-30
VND02885,2023-Q1,344116,215777,128339,37.3,0-30
VND03285,2023-Q3,135982,108037,27945,20.55,0-30
VND01518,2023-Q2,489070,28191,460879,94.24,60+
VND01894,2023-Q1,180654,172727,7927,4.39,0-30
VND00110,2023-Q1,180034,56101,123933,68.84,60+
VND02126,2023-Q1,236705,220623,16082,6.79,0-30
VND01929,2023-Q2,90330,23825,66505,73.62,31-60
VND04053,2023-Q1,222911,75322,147589,66.21,31-60
VND01622,2023-Q3,252589,169819,82770,32.77,60+
VND03086,2023-Q1,206308,90921,115387,55.93,60+
VND03619,2023-Q2,316084,85397,230687,72.98,31-60
VND03860,2023-Q1,239548,231956,7592,3.17,31-60
VND04043,2023-Q1,367349,241173,126176,34.35,0-30
VND02692,2023-Q3,249255,246670,2585,1.04,0-30
VND04529,2023-Q3,436214,83810,352404,80.79,31-60
VND03450,2023-Q2,173540,122587,50953,29.36,0-30
VND01734,2023-Q3,278843,177808,101035,36.23,60+
VND02149,2023-Q3,127028,114832,12196,9.6,31-60
VND01209,2023-Q3,149665,96065,53600,35.81,31-60
VND03518,2023-Q2,287855,223119,64736,22.49,31-60
VND00558,2023-Q1,315995,298510,17485,5.53,0-30
VND01784,2023-Q3,260284,170166,90118,34.62,0-30
VND04304,2023-Q3,265289,59451,205838,77.59,31-60
VND02848,2023-Q1,154863,54488,100375,64.82,0-30
VND01183,2023-Q3,355864,195755,160109,44.99,0-30
VND00475,2023-Q1,143449,129136,14313,9.98,31-60
VND03636,2023-Q2,410177,331048,79129,19.29,31-60
VND03001,2023-Q2,430495,378983,51512,11.97,60+
VND02720,2023-Q3,484009,301158,182851,37.78,60+
VND01842,2023-Q2,333992,168480,165512,49.56,31-60
VND00043,2023-Q1,87354,78223,9131,10.45,60+
VND03613,2023-Q2,322539,208053,114486,35.5,0-30
VND00704,2023-Q1,308054,37686,270368,87.77,31-60
VND02295,2023-Q2,176819,26615,150204,84.95,31-60
VND02225,2023-Q1,121577,30959,90618,74.54,31-60
VND03103,2023-Q1,189073,57327,131746,69.68,31-60
VND04983,2023-Q2,492994,182582,310412,62.96,31-60
VND03917,2023-Q3,255575,22101,233474,91.35,0-30
VND04691,2023-Q2,480681,188968,291713,60.69,60+
VND03166,2023-Q2,306752,66723,240029,78.25,31-60
VND04893,2023-Q1,61025,32649,28376,46.5,60+
VND00134,2023-Q3,348258,318304,29954,8.6,31-60
VND01411,2023-Q3,485226,129991,355235,73.21,0-30
VND02486,2023-Q3,458462,48097,410365,89.51,0-30
VND00458,2023-Q1,189079,82570,106509,56.33,60+
VND04132,2023-Q1,348809,291369,57440,16.47,0-30
VND00879,2023-Q1,230238,122181,108057,46.93,31-60
VND01378,2023-Q1,290904,267066,23838,8.19,60+
VND04221,2023-Q3,81971,42846,39125,47.73,31-60
VND04231,2023-Q1,471727,354970,116757,24.75,60+
VND03979,2023-Q3,491293,279892,211401,43.03,31-60
VND02520,2023-Q3,64131,47556,16575,25.85,60+
VND00009,2023-Q3,214249,136541,77708,36.27,31-60
VND00376,2023-Q3,237864,225908,11956,5.03,60+
VND00405,2023-Q2,404346,178816,225530,55.78,0-30
VND03245,2023-Q2,329346,181763,147583,44.81,60+
VND03218,2023-Q1,199937,39786,160151,80.1,60+
VND04688,2023-Q2,417179,412097,5082,1.22,0-30
VND03249,2023-Q2,367279,224257,143022,38.94,0-30
VND02545,2023-Q1,362890,262421,100469,27.69,60+
VND04163,2023-Q2,292446,197916,94530,32.32,0-30
VND04794,2023-Q3,443057,54224,388833,87.76,31-60
VND02648,2023-Q2,472104,291639,180465,38.23,60+
VND02848,2023-Q1,103043,95587,7456,7.24,60+
VND01611,2023-Q2,203958,138577,65381,32.06,0-30
VND02997,2023-Q1,423432,319836,103596,24.47,60+
VND04661,2023-Q1,374539,318880,55659,14.86,0-30
VND00623,2023-Q3,165765,48646,117119,70.65,60+
VND00541,2023-Q2,347689,294301,53388,15.36,31-60
VND04975,2023-Q2,442131,213900,228231,51.62,0-30
VND04554,2023-Q1,489813,239289,250524,51.15,60+
VND02330,2023-Q2,168024,27784,140240,83.46,60+
VND03387,2023-Q2,488845,137757,351088,71.82,31-60
VND02259,2023-Q2,99873,81371,18502,18.53,31-60
VND02647,2023-Q1,123862,41990,81872,66.1,0-30
VND02417,2023-Q2,262653,249148,13505,5.14,60+
VND03156,2023-Q2,211487,101400,110087,52.05,0-30
VND00787,2023-Q2,374800,356802,17998,4.8,60+
VND00571,2023-Q2,180302,118765,61537,34.13,60+
VND00251,2023-Q2,177961,85366,92595,52.03,60+
VND01945,2023-Q2,79693,40131,39562,49.64,31-60
VND00371,2023-Q3,61107,34874,26233,42.93,60+
VND00797,2023-Q2,478672,213201,265471,55.46,31-60
VND04158,2023-Q3,314190,269844,44346,14.11,31-60
VND01944,2023-Q3,450369,335088,115281,25.6,31-60
VND03103,2023-Q3,109152,35209,73943,67.74,31-60
VND04916,2023-Q3,115141,88831,26310,22.85,60+
VND04380,2023-Q3,94191,88667,5524,5.86,60+
VND04391,2023-Q2,396686,321139,75547,19.04,0-30
VND02541,2023-Q3,329421,31100,298321,90.56,31-60
VND01259,2023-Q1,69473,48507,20966,30.18,0-30
VND00274,2023-Q3,390675,250194,140481,35.96,31-60
VND03181,2023-Q1,317336,228219,89117,28.08,60+
VND00885,2023-Q2,345016,196740,148276,42.98,0-30
VND02900,2023-Q2,72653,29268,43385,59.72,60+
VND04806,2023-Q3,383942,317962,65980,17.18,31-60
VND04869,2023-Q3,275485,122177,153308,55.65,31-60
VND01370,2023-Q2,119468,77289,42179,35.31,31-60
VND01118,2023-Q2,210799,52218,158581,75.23,31-60
VND01829,2023-Q1,487318,408805,78513,16.11,0-30
VND01646,2023-Q1,293289,276986,16303,5.56,31-60
VND04377,2023-Q3,363054,127550,235504,64.87,60+
VND03432,2023-Q3,188806,137601,51205,27.12,0-30
VND01302,2023-Q2,217610,76132,141478,65.01,0-30
VND03360,2023-Q1,350669,234153,116516,33.23,31-60
VND04165,2023-Q1,216910,166797,50113,23.1,31-60
VND02761,2023-Q3,177429,49079,128350,72.34,0-30
VND04627,2023-Q2,315132,33051,282081,89.51,60+
VND00988,2023-Q2,417293,327990,89303,21.4,60+
VND04227,2023-Q2,271501,134530,136971,50.45,0-30
VND01008,2023-Q2,494230,242122,252108,51.01,60+
VND00823,2023-Q2,267502,82798,184704,69.05,0-30
VND01998,2023-Q3,447233,347562,99671,22.29,0-30
VND01310,2023-Q2,425383,384720,40663,9.56,31-60
VND00681,2023-Q2,375115,73864,301251,80.31,31-60
VND03762,2023-Q1,139803,130382,9421,6.74,60+
VND01147,2023-Q1,135853,57422,78431,57.73,60+
VND02548,2023-Q2,86031,28618,57413,66.74,60+
VND04407,2023-Q1,499019,65029,433990,86.97,0-30
VND02932,2023-Q3,339111,74211,264900,78.12,0-30
VND04087,2023-Q1,248585,81590,166995,67.18,31-60
VND00699,2023-Q2,281519,56350,225169,79.98,31-60
VND02234,2023-Q3,222671,139008,83663,37.57,0-30
VND03501,2023-Q1,357480,211157,146323,40.93,31-60
VND03188,2023-Q3,172809,40909,131900,76.33,31-60
VND02426,2023-Q1,147895,76973,70922,47.95,0-30
VND00815,2023-Q3,51628,50763,865,1.68,60+
VND04283,2023-Q2,64025,31844,32181,50.26,0-30
VND03581,2023-Q2,149308,114154,35154,23.54,0-30
VND02524,2023-Q2,249697,146419,103278,41.36,0-30
VND03429,2023-Q3,261652,158025,103627,39.6,0-30
VND01484,2023-Q2,55623,47391,8232,14.8,0-30
VND00758,2023-Q3,408349,282355,125994,30.85,0-30
VND04729,2023-Q2,74075,43630,30445,41.1,0-30
VND00240,2023-Q2,119529,113984,5545,4.64,0-30
VND04500,2023-Q1,413390,250746,162644,39.34,60+
VND04124,2023-Q3,352282,104605,247677,70.31,0-30
VND03386,2023-Q3,470169,123450,346719,73.74,31-60
VND04820,2023-Q1,357907,163832,194075,54.22,0-30
VND01633,2023-Q3,320878,201729,119149,37.13,31-60
VND01766,2023-Q3,361033,167713,193320,53.55,0-30
VND01471,2023-Q1,415447,191185,224262,53.98,31-60
VND04751,2023-Q2,61852,61125,727,1.18,0-30
VND03856,2023-Q1,138670,41139,97531,70.33,0-30
VND01603,2023-Q1,243029,52254,190775,78.5,31-60
VND03438,2023-Q3,307392,233027,74365,24.19,31-60
VND03849,2023-Q1,245789,50067,195722,79.63,0-30
VND00828,2023-Q3,498283,495267,3016,0.61,31-60
VND04366,2023-Q2,127382,36208,91174,71.58,60+
VND01430,2023-Q1,211767,176301,35466,16.75,60+
VND02742,2023-Q2,233118,120347,112771,48.38,31-60
VND03376,2023-Q1,135260,98174,37086,27.42,0-30
VND03232,2023-Q3,406664,177943,228721,56.24,0-30
VND03349,2023-Q1,107562,95638,11924,11.09,31-60
VND00578,2023-Q1,217912,52320,165592,75.99,60+
VND03212,2023-Q2,357238,146504,210734,58.99,0-30
VND00195,2023-Q3,365740,230848,134892,36.88,0-30
VND02915,2023-Q1,167544,35532,132012,78.79,0-30
VND03236,2023-Q2,462808,169099,293709,63.46,31-60
VND00936,2023-Q2,244814,233250,11564,4.72,60+
VND00952,2023-Q1,141582,74688,66894,47.25,60+
VND04091,2023-Q2,86853,55769,31084,35.79,0-30
VND00334,2023-Q2,480248,311484,168764,35.14,60+
VND00455,2023-Q1,356812,171029,185783,52.07,0-30
VND02437,2023-Q3,484037,326193,157844,32.61,60+
VND02874,2023-Q1,400116,37484,362632,90.63,0-30
VND03942,2023-Q2,88386,46133,42253,47.81,60+
VND00534,2023-Q3,289483,166380,123103,42.53,0-30
VND00538,2023-Q2,239155,77844,161311,67.45,60+
VND01039,2023-Q2,90339,70831,19508,21.59,0-30
VND02413,2023-Q2,375118,56687,318431,84.89,60+
VND01386,2023-Q2,349346,231180,118166,33.82,31-60
VND02940,2023-Q1,431865,129534,302331,70.01,0-30
VND04512,2023-Q3,70167,67602,2565,3.66,0-30
VND02187,2023-Q1,60734,29935,30799,50.71,60+
VND04425,2023-Q2,203812,97829,105983,52.0,0-30
VND01373,2023-Q1,430956,403724,27232,6.32,31-60
VND02109,2023-Q1,249590,245650,3940,1.58,0-30
VND00739,2023-Q2,201637,76516,125121,62.05,0-30
VND01363,2023-Q2,279292,150502,128790,46.11,31-60
VND03701,2023-Q3,480379,340608,139771,29.1,0-30
VND04740,2023-Q2,190797,137289,53508,28.04,60+
VND04341,2023-Q3,146817,138404,8413,5.73,60+
VND03991,2023-Q2,318024,71171,246853,77.62,31-60
VND01178,2023-Q1,477490,325571,151919,31.82,0-30
VND02128,2023-Q2,377817,238960,138857,36.75,60+
VND01713,2023-Q2,51025,32358,18667,36.58,31-60
VND04160,2023-Q3,312647,191959,120688,38.6,0-30
VND01565,2023-Q2,133727,50836,82891,61.99,31-60
VND00417,2023-Q1,87991,46650,41341,46.98,60+
VND03444,2023-Q1,469994,314012,155982,33.19,31-60
VND01729,2023-Q1,462704,169093,293611,63.46,31-60
VND00930,2023-Q3,244173,61317,182856,74.89,60+
VND02093,2023-Q1,370116,356452,13664,3.69,60+
VND04303,2023-Q2,238640,124612,114028,47.78,0-30
VND02150,2023-Q2,436716,88135,348581,79.82,60+
VND00090,2023-Q3,346696,36124,310572,89.58,0-30
VND03705,2023-Q1,498767,97073,401694,80.54,0-30
VND04556,2023-Q2,76638,43764,32874,42.9,31-60
VND01371,2023-Q3,492178,122895,369283,75.03,60+
VND03536,2023-Q3,403135,62609,340526,84.47,0-30
VND01523,2023-Q1,368100,238229,129871,35.28,60+
VND00159,2023-Q1,277684,77218,200466,72.19,0-30
VND03723,2023-Q1,102618,65415,37203,36.25,31-60
VND03976,2023-Q2,190171,176809,13362,7.03,60+
VND04539,2023-Q3,382143,54710,327433,85.68,31-60
VND00903,2023-Q2,198735,173092,25643,12.9,31-60
VND00860,2023-Q1,92162,60948,31214,33.87,0-30
VND01414,2023-Q2,145068,102323,42745,29.47,31-60
VND00392,2023-Q3,52994,25968,27026,51.0,0-30
VND00683,2023-Q1,327609,153463,174146,53.16,0-30
VND00694,2023-Q1,373805,162594,211211,56.5,31-60
VND01346,2023-Q3,236876,123467,113409,47.88,0-30
VND02614,2023-Q3,213714,102510,111204,52.03,31-60
VND01098,2023-Q2,55392,22409,32983,59.54,31-60
VND03772,2023-Q3,486666,353704,132962,27.32,60+
VND02564,2023-Q2,85013,25153,59860,70.41,60+
VND00862,2023-Q3,126751,115505,11246,8.87,60+
VND01916,2023-Q1,324509,144728,179781,55.4,0-30
VND00045,2023-Q2,327704,281158,46546,14.2,31-60
VND00258,2023-Q3,162159,156393,5766,3.56,60+
VND04370,2023-Q3,355797,48839,306958,86.27,0-30
VND03534,2023-Q3,470304,98154,372150,79.13,31-60
VND00609,2023-Q1,257767,48302,209465,81.26,31-60
VND02545,2023-Q1,57488,23503,33985,59.12,60+
VND02634,2023-Q1,277205,20236,256969,92.7,31-60
VND00009,2023-Q3,248769,38511,210258,84.52,0-30
VND01043,2023-Q1,266874,206172,60702,22.75,31-60
VND03304,2023-Q2,473656,206010,267646,56.51,31-60
VND01159,2023-Q2,311420,110233,201187,64.6,0-30
VND02297,2023-Q2,498998,310249,188749,37.83,0-30
VND04390,2023-Q2,430697,222832,207865,48.26,31-60
VND01144,2023-Q2,158969,74668,84301,53.03,31-60
VND04105,2023-Q2,377669,97958,279711,74.06,60+
VND02639,2023-Q3,216771,135341,81430,37.56,60+
VND03843,2023-Q3,303128,32506,270622,89.28,0-30
VND03068,2023-Q1,324371,53079,271292,83.64,0-30
VND03278,2023-Q2,281554,275925,5629,2.0,31-60
VND01999,2023-Q1,51461,41467,9994,19.42,60+
VND02671,2023-Q2,400187,70941,329246,82.27,0-30
VND00477,2023-Q1,74648,42538,32110,43.02,31-60
VND04980,2023-Q2,243787,174997,68790,28.22,31-60
VND00918,2023-Q2,80457,67001,13456,16.72,60+
VND00550,2023-Q2,418096,108272,309824,74.1,60+
VND04544,2023-Q3,454548,214275,240273,52.86,0-30
VND03818,2023-Q2,128313,37556,90757,70.73,0-30
VND04141,2023-Q3,393177,176471,216706,55.12,60+
VND00587,2023-Q2,259134,155525,103609,39.98,0-30
VND00635,2023-Q2,117053,87072,29981,25.61,60+
VND02281,2023-Q2,129932,58887,71045,54.68,0-30
VND02111,2023-Q1,317285,238750,78535,24.75,0-30
VND01394,2023-Q3,259142,37351,221791,85.59,60+
VND03118,2023-Q2,365667,189445,176222,48.19,0-30
VND03221,2023-Q1,329514,107640,221874,67.33,0-30
VND01111,2023-Q1,418867,96974,321893,76.85,60+
VND01347,2023-Q1,280351,261069,19282,6.88,0-30
VND04177,2023-Q2,340404,184094,156310,45.92,60+
VND00401,2023-Q1,96811,51596,45215,46.7,60+
VND02480,2023-Q2,152963,148817,4146,2.71,31-60
VND04840,2023-Q3,182997,141169,41828,22.86,0-30
VND00709,2023-Q3,230518,178646,51872,22.5,31-60
VND00719,2023-Q1,210331,176627,33704,16.02,0-30
VND00731,2023-Q2,415391,165680,249711,60.11,0-30
VND04554,2023-Q3,248866,70274,178592,71.76,31-60
VND03390,2023-Q1,247817,90913,156904,63.31,60+
VND04364,2023-Q1,198707,66936,131771,66.31,0-30
VND04708,2023-Q2,157274,74692,82582,52.51,60+
VND04514,2023-Q3,341986,99732,242254,70.84,31-60
VND00197,2023-Q2,129943,30716,99227,76.36,0-30
VND00903,2023-Q3,170944,109134,61810,36.16,0-30
VND03096,2023-Q1,392110,140979,251131,64.05,31-60
VND02753,2023-Q2,407231,186388,220843,54.23,31-60
VND03536,2023-Q2,142099,137710,4389,3.09,31-60
VND02412,2023-Q1,92666,59044,33622,36.28,31-60
VND04456,2023-Q1,67268,35972,31296,46.52,60+
VND02471,2023-Q1,310235,221865,88370,28.48,60+
VND04439,2023-Q3,126919,31582,95337,75.12,31-60
VND01427,2023-Q2,367230,117322,249908,68.05,31-60
VND01884,2023-Q1,320468,194558,125910,39.29,60+
VND03723,2023-Q3,324749,275591,49158,15.14,60+
VND03499,2023-Q1,481323,178625,302698,62.89,0-30
VND01033,2023-Q3,223074,49609,173465,77.76,0-30
VND02560,2023-Q2,94373,84340,10033,10.63,31-60
VND01395,2023-Q3,343675,138207,205468,59.79,60+
VND00773,2023-Q3,232739,193442,39297,16.88,60+
VND03825,2023-Q3,299612,104895,194717,64.99,60+
VND02385,2023-Q3,253106,118624,134482,53.13,0-30
VND04234,2023-Q3,62747,46449,16298,25.97,60+
VND01316,2023-Q3,378168,211499,166669,44.07,0-30
VND02812,2023-Q2,95474,78799,16675,17.47,0-30
VND04989,2023-Q1,361885,95238,266647,73.68,60+
