vendor_id,mismatch_rate,filing_delay_frequency,gst_status_score,vendor_risk_score,risk_category
VND00114,0.122,0.239,13,14.44,Low
VND00115,0.094,0.128,10,8.9,Low
VND00116,0.191,0.354,11,21.81,Low
VND00117,0.251,0.178,4,17.16,Low
VND00118,0.125,0.071,5,7.82,Low
VND00119,0.292,0.149,10,17.61,Low
VND00120,0.145,0.162,10,12.28,Low
VND00121,0.201,0.076,13,11.07,Low
VND00122,0.038,0.271,10,12.33,Low
VND00123,0.204,0.32,17,20.95,Low
VND00124,0.206,0.341,3,21.89,Low
VND00125,0.143,0.32,20,18.53,Low
VND00126,0.141,0.079,20,8.79,Low
VND00127,0.157,0.327,11,19.36,Low
VND00128,0.148,0.327,5,18.98,Low
VND00129,0.155,0.23,16,15.39,Low
VND00130,0.129,0.053,0,7.3,Low
VND00131,0.271,0.24,15,20.46,Low
VND00132,0.015,0.018,4,1.33,Low
VND00133,0.103,0.016,15,4.76,Low
VND00134,0.058,0.396,7,18.16,Low
VND00135,0.063,0.242,18,12.23,Low
VND00136,0.132,0.307,4,17.54,Low
VND00137,0.124,0.137,11,10.45,Low
VND00138,0.048,0.228,16,11.05,Low
VND00139,0.129,0.23,13,14.34,Low
VND00140,0.241,0.308,18,21.93,Low
VND00141,0.286,0.01,0,11.86,Low
VND00142,0.217,0.173,12,15.58,Low
VND00143,0.264,0.029,6,11.72,Low
VND00144,0.241,0.099,20,13.62,Low
VND00145,0.099,0.129,12,9.09,Low
VND00146,0.245,0.258,17,20.14,Low
VND00147,0.074,0.085,9,6.4,Low
VND00148,0.163,0.224,1,15.5,Low
VND00149,0.195,0.168,9,14.51,Low
VND00150,0.105,0.225,10,13.2,Low
VND00151,0.3,0.329,6,25.14,Medium
VND00152,0.223,0.162,9,15.39,Low
VND00153,0.016,0.107,5,4.94,Low
VND00154,0.255,0.226,11,19.25,Low
VND00155,0.189,0.381,19,22.81,Low
VND00156,0.017,0.218,6,9.38,Low
VND00157,0.288,0.177,10,18.61,Low
VND00158,0.156,0.111,5,10.7,Low
VND00159,0.169,0.111,8,11.18,Low
VND00160,0.271,0.078,16,13.95,Low
VND00161,0.296,0.324,11,24.78,Low
VND00162,0.189,0.055,20,9.77,Low
VND00163,0.131,0.297,5,17.09,Low
VND00164,0.252,0.33,4,23.25,Low
VND00165,0.149,0.37,8,20.73,Low
VND00166,0.24,0.246,1,19.43,Low
VND00167,0.259,0.369,6,25.11,Medium
VND00168,0.185,0.358,11,21.69,Low
VND00169,0.158,0.157,11,12.6,Low
VND00170,0.265,0.183,18,17.92,Low
VND00171,0.137,0.371,20,20.31,Low
VND00172,0.268,0.174,8,17.68,Low
VND00173,0.12,0.361,14,19.26,Low
VND00174,0.191,0.057,9,9.9,Low
VND00175,0.088,0.352,8,17.59,Low
VND00176,0.039,0.379,19,16.75,Low
VND00177,0.108,0.236,6,13.76,Low
VND00178,0.191,0.368,16,22.38,Low
VND00179,0.131,0.361,12,19.69,Low
VND00180,0.282,0.054,8,13.41,Low
VND00181,0.128,0.323,9,18.05,Low
VND00182,0.124,0.031,10,6.18,Low
VND00183,0.089,0.054,6,5.73,Low
VND00184,0.087,0.314,10,16.05,Low
VND00185,0.229,0.181,17,16.4,Low
VND00186,0.074,0.362,3,17.47,Low
VND00187,0.038,0.157,9,7.82,Low
VND00188,0.21,0.398,13,24.31,Low
VND00189,0.153,0.128,8,11.25,Low
VND00190,0.195,0.196,10,15.64,Low
VND00191,0.043,0.344,11,15.47,Low
VND00192,0.008,0.267,2,11.0,Low
VND00193,0.268,0.343,18,24.45,Low
VND00194,0.016,0.014,20,1.19,Low
VND00195,0.048,0.169,10,8.71,Low
VND00196,0.091,0.165,18,10.25,Low
VND00197,0.05,0.073,12,4.93,Low
VND00198,0.072,0.07,3,5.67,Low
VND00199,0.104,0.043,20,5.88,Low
VND00200,0.058,0.087,13,5.8,Low
VND00201,0.062,0.333,5,15.8,Low
VND00202,0.059,0.225,14,11.35,Low
VND00203,0.25,0.252,5,20.08,Low
VND00204,0.117,0.355,12,18.87,Low
VND00205,0.136,0.341,11,19.07,Low
VND00206,0.204,0.225,13,17.15,Low
VND00207,0.05,0.237,18,11.49,Low
VND00208,0.269,0.138,7,16.28,Low
VND00209,0.196,0.393,17,23.55,Low
VND00210,0.14,0.355,3,19.83,Low
VND00211,0.203,0.055,1,10.31,Low
VND00212,0.081,0.259,10,13.61,Low
VND00213,0.104,0.318,6,16.85,Low
VND00214,0.053,0.362,6,16.59,Low
VND00215,0.065,0.219,18,11.33,Low
VND00216,0.03,0.078,17,4.3,Low
VND00217,0.163,0.011,1,6.95,Low
VND00218,0.055,0.044,1,3.97,Low
VND00219,0.174,0.335,9,20.36,Low
VND00220,0.076,0.32,8,15.86,Low
VND00221,0.055,0.147,13,8.08,Low
VND00222,0.051,0.133,6,7.37,Low
VND00223,0.062,0.14,1,8.05,Low
VND00224,0.261,0.046,2,12.28,Low
VND00225,0.1,0.206,13,12.24,Low
VND00226,0.229,0.186,18,16.6,Low
VND00227,0.051,0.272,5,12.93,Low
VND00228,0.031,0.313,5,13.77,Low
VND00229,0.126,0.14,9,10.61,Low
VND00230,0.173,0.314,11,19.49,Low
VND00231,0.022,0.026,12,1.89,Low
VND00232,0.046,0.032,4,3.11,Low
VND00233,0.275,0.198,17,18.92,Low
VND00234,0.02,0.373,8,15.72,Low
VND00235,0.245,0.31,13,22.2,Low
VND00236,0.009,0.289,17,11.95,Low
VND00237,0.187,0.259,3,17.87,Low
VND00238,0.188,0.259,4,17.9,Low
VND00239,0.119,0.164,20,11.32,Low
VND00240,0.072,0.064,0,5.42,Low
VND00241,0.273,0.319,3,23.7,Low
VND00242,0.273,0.044,5,12.65,Low
VND00243,0.291,0.042,19,13.34,Low
VND00244,0.052,0.039,10,3.62,Low
VND00245,0.028,0.198,20,9.04,Low
VND00246,0.134,0.307,17,17.63,Low
VND00247,0.026,0.065,6,3.64,Low
VND00248,0.066,0.362,16,17.12,Low
VND00249,0.108,0.135,12,9.73,Low
VND00250,0.216,0.097,16,12.52,Low
VND00251,0.092,0.372,17,18.54,Low
VND00252,0.3,0.126,10,17.02,Low
VND00253,0.291,0.206,9,19.9,Low
VND00254,0.172,0.303,3,19.01,Low
VND00255,0.011,0.062,17,2.94,Low
VND00256,0.17,0.29,10,18.4,Low
VND00257,0.283,0.142,6,17.0,Low
VND00258,0.016,0.304,4,12.82,Low
VND00259,0.094,0.323,11,16.65,Low
VND00260,0.217,0.027,11,9.75,Low
VND00261,0.109,0.081,18,7.62,Low
VND00262,0.059,0.121,15,7.21,Low
VND00263,0.259,0.377,12,25.44,Medium
VND00264,0.284,0.24,4,20.94,Low
VND00265,0.105,0.333,17,17.53,Low
VND00266,0.214,0.171,11,15.42,Low
VND00267,0.033,0.061,12,3.77,Low
VND00268,0.154,0.256,8,16.38,Low
VND00269,0.197,0.284,12,19.22,Low
VND00270,0.158,0.107,4,10.58,Low
VND00271,0.051,0.181,17,9.26,Low
VND00272,0.249,0.091,13,13.61,Low
VND00273,0.252,0.248,15,20.01,Low
VND00274,0.214,0.232,2,17.86,Low
VND00275,0.236,0.28,5,20.66,Low
VND00276,0.067,0.137,16,8.14,Low
VND00277,0.06,0.27,18,13.19,Low
VND00278,0.175,0.256,0,17.23,Low
VND00279,0.234,0.009,4,9.74,Low
VND00280,0.016,0.367,11,15.3,Low
VND00281,0.198,0.376,4,22.96,Low
VND00282,0.294,0.113,20,16.31,Low
VND00283,0.265,0.157,20,16.87,Low
VND00284,0.204,0.355,8,22.38,Low
VND00285,0.07,0.011,2,3.22,Low
VND00286,0.106,0.021,4,5.08,Low
VND00287,0.039,0.192,18,9.24,Low
VND00288,0.051,0.218,12,10.76,Low
VND00289,0.163,0.301,16,18.56,Low
VND00290,0.142,0.042,16,7.36,Low
VND00291,0.125,0.258,18,15.3,Low
VND00292,0.132,0.244,8,15.05,Low
VND00293,0.292,0.306,17,23.94,Low
VND00294,0.25,0.221,6,18.87,Low
VND00295,0.243,0.126,16,14.76,Low
VND00296,0.087,0.166,8,10.14,Low
VND00297,0.122,0.095,11,8.69,Low
VND00298,0.29,0.085,1,15.01,Low
VND00299,0.083,0.177,3,10.41,Low
VND00300,0.216,0.153,10,14.77,Low
VND00301,0.178,0.219,15,15.85,Low
VND00302,0.025,0.029,4,2.15,Low
VND00303,0.164,0.245,14,16.32,Low
VND00304,0.092,0.161,10,10.15,Low
VND00305,0.185,0.113,5,11.91,Low
VND00306,0.187,0.232,5,16.78,Low
VND00307,0.157,0.179,9,13.4,Low
VND00308,0.067,0.367,15,17.36,Low
VND00309,0.086,0.046,7,5.29,Low
VND00310,0.129,0.21,16,13.56,Low
VND00311,0.259,0.182,13,17.64,Low
VND00312,0.148,0.341,19,19.56,Low
VND00313,0.209,0.349,1,22.34,Low
VND00314,0.227,0.371,11,23.91,Low
VND00315,0.151,0.009,16,6.41,Low
VND00316,0.221,0.054,7,11.01,Low
VND00317,0.006,0.187,11,7.69,Low
VND00318,0.109,0.094,1,8.1,Low
VND00319,0.089,0.066,3,6.2,Low
VND00320,0.238,0.103,4,13.61,Low
VND00321,0.122,0.164,6,11.41,Low
VND00322,0.066,0.211,15,11.1,Low
VND00323,0.234,0.162,3,15.85,Low
VND00324,0.112,0.118,2,9.2,Low
VND00325,0.007,0.381,4,15.52,Low
VND00326,0.247,0.066,11,12.52,Low
VND00327,0.271,0.042,12,12.52,Low
VND00328,0.059,0.223,1,11.26,Low
VND00329,0.295,0.171,3,18.64,Low
VND00330,0.004,0.249,15,10.11,Low
VND00331,0.153,0.218,6,14.86,Low
VND00332,0.048,0.243,15,11.65,Low
VND00333,0.207,0.066,19,10.91,Low
VND00334,0.019,0.008,0,1.1,Low
VND00335,0.293,0.012,5,12.2,Low
VND00336,0.054,0.123,11,7.08,Low
VND00337,0.122,0.317,10,17.56,Low
VND00338,0.031,0.096,5,5.08,Low
VND00339,0.191,0.305,0,19.83,Low
VND00340,0.229,0.172,15,16.02,Low
VND00341,0.092,0.082,20,6.99,Low
VND00342,0.207,0.313,1,20.81,Low
VND00343,0.083,0.221,8,12.15,Low
VND00344,0.294,0.118,2,16.45,Low
VND00345,0.09,0.178,3,10.73,Low
VND00346,0.172,0.132,4,12.13,Low
VND00347,0.204,0.143,6,13.89,Low
VND00348,0.199,0.044,11,9.72,Low
VND00349,0.091,0.081,18,6.88,Low
VND00350,0.065,0.055,18,4.81,Low
VND00351,0.245,0.113,20,14.33,Low
VND00352,0.037,0.392,2,17.12,Low
VND00353,0.216,0.35,19,22.63,Low
VND00354,0.018,0.086,20,4.14,Low
VND00355,0.147,0.161,11,12.32,Low
VND00356,0.197,0.056,2,10.13,Low
VND00357,0.196,0.301,1,19.88,Low
VND00358,0.108,0.13,16,9.55,Low
VND00359,0.062,0.207,4,10.77,Low
VND00360,0.101,0.243,13,13.75,Low
VND00361,0.249,0.358,16,24.26,Low
VND00362,0.111,0.32,5,17.25,Low
VND00363,0.29,0.194,4,19.33,Low
VND00364,0.284,0.092,13,15.05,Low
VND00365,0.119,0.253,0,14.86,Low
VND00366,0.299,0.228,9,21.05,Low
VND00367,0.127,0.385,9,20.48,Low
VND00368,0.221,0.171,17,15.68,Low
VND00369,0.069,0.105,12,6.96,Low
VND00370,0.056,0.252,10,12.29,Low
VND00371,0.13,0.267,6,15.88,Low
VND00372,0.11,0.074,0,7.37,Low
VND00373,0.234,0.184,10,16.72,Low
VND00374,0.106,0.11,6,8.64,Low
VND00375,0.25,0.257,19,20.27,Low
VND00376,0.26,0.336,0,23.85,Low
VND00377,0.143,0.089,6,9.28,Low
VND00378,0.083,0.347,14,17.21,Low
VND00379,0.163,0.144,7,12.27,Low
VND00380,0.127,0.083,3,8.39,Low
VND00381,0.113,0.15,7,10.54,Low
VND00382,0.01,0.004,10,0.56,Low
VND00383,0.017,0.028,6,1.82,Low
VND00384,0.116,0.128,18,9.77,Low
VND00385,0.133,0.095,5,9.14,Low
VND00386,0.222,0.033,20,10.21,Low
VND00387,0.007,0.107,5,4.53,Low
VND00388,0.104,0.254,5,14.35,Low
VND00389,0.099,0.307,14,16.21,Low
VND00390,0.092,0.152,0,9.75,Low
VND00391,0.169,0.016,6,7.43,Low
VND00392,0.12,0.067,16,7.47,Low
VND00393,0.011,0.233,7,9.73,Low
VND00394,0.033,0.224,17,10.25,Low
VND00395,0.166,0.054,6,8.8,Low
VND00396,0.273,0.011,3,11.36,Low
VND00397,0.034,0.113,6,5.86,Low
VND00398,0.177,0.157,11,13.34,Low
VND00399,0.061,0.331,6,15.67,Low
VND00400,0.07,0.048,13,4.72,Low
VND00401,0.166,0.273,3,17.56,Low
VND00402,0.289,0.359,18,25.9,Medium
VND00403,0.299,0.169,17,18.72,Low
VND00404,0.014,0.35,16,14.57,Low
VND00405,0.132,0.31,8,17.66,Low
VND00406,0.003,0.344,19,13.87,Low
VND00407,0.288,0.168,9,18.24,Low
VND00408,0.161,0.003,8,6.55,Low
VND00409,0.094,0.117,12,8.43,Low
VND00410,0.199,0.11,16,12.35,Low
VND00411,0.22,0.052,4,10.86,Low
VND00412,0.288,0.365,17,26.12,Medium
VND00413,0.247,0.393,13,25.61,Medium
VND00414,0.281,0.029,6,12.4,Low
VND00415,0.291,0.104,14,15.8,Low
VND00416,0.014,0.203,11,8.69,Low
VND00417,0.172,0.147,8,12.74,Low
VND00418,0.21,0.15,15,14.43,Low
VND00419,0.238,0.079,0,12.68,Low
VND00420,0.178,0.391,5,22.73,Low
VND00421,0.063,0.392,13,18.2,Low
VND00422,0.268,0.099,4,14.71,Low
VND00423,0.188,0.101,12,11.56,Low
VND00424,0.233,0.33,12,22.51,Low
VND00425,0.234,0.328,20,22.47,Low
VND00426,0.239,0.241,7,19.23,Low
VND00427,0.11,0.26,13,14.79,Low
VND00428,0.173,0.067,1,9.6,Low
VND00429,0.18,0.089,6,10.74,Low
VND00430,0.105,0.199,5,12.13,Low
VND00431,0.235,0.097,18,13.25,Low
VND00432,0.279,0.211,2,19.59,Low
VND00433,0.001,0.371,2,14.88,Low
VND00434,0.269,0.128,12,15.87,Low
VND00435,0.106,0.205,6,12.47,Low
VND00436,0.201,0.15,20,14.05,Low
VND00437,0.072,0.297,20,14.79,Low
VND00438,0.101,0.013,19,4.59,Low
VND00439,0.04,0.028,11,2.73,Low
VND00440,0.293,0.016,1,12.35,Low
VND00441,0.027,0.108,15,5.37,Low
VND00442,0.001,0.302,10,12.14,Low
VND00443,0.072,0.023,6,3.79,Low
VND00444,0.22,0.296,7,20.63,Low
VND00445,0.299,0.374,1,26.93,Medium
VND00446,0.032,0.386,6,16.72,Low
VND00447,0.062,0.309,7,14.81,Low
VND00448,0.208,0.274,11,19.26,Low
VND00449,0.153,0.27,8,16.92,Low
VND00450,0.272,0.161,10,17.34,Low
VND00451,0.111,0.252,2,14.54,Low
VND00452,0.155,0.291,2,17.82,Low
VND00453,0.17,0.023,15,7.7,Low
VND00454,0.116,0.167,3,11.31,Low
VND00455,0.246,0.364,1,24.42,Low
VND00456,0.047,0.262,16,12.37,Low
VND00457,0.089,0.018,8,4.3,Low
VND00458,0.26,0.069,20,13.14,Low
VND00459,0.091,0.179,16,10.82,Low
VND00460,0.281,0.257,6,21.51,Low
VND00461,0.011,0.016,1,1.1,Low
VND00462,0.192,0.274,16,18.64,Low
VND00463,0.247,0.127,0,14.96,Low
VND00464,0.286,0.207,4,19.73,Low
VND00465,0.12,0.194,9,12.54,Low
VND00466,0.123,0.206,18,13.14,Low
VND00467,0.243,0.206,11,17.94,Low
VND00468,0.238,0.346,10,23.36,Low
VND00469,0.092,0.304,11,15.86,Low
VND00470,0.291,0.285,6,23.06,Low
VND00471,0.194,0.252,11,17.8,Low
VND00472,0.17,0.235,6,16.2,Low
VND00473,0.22,0.187,5,16.29,Low
VND00474,0.095,0.327,13,16.88,Low
VND00475,0.199,0.211,12,16.4,Low
VND00476,0.211,0.134,9,13.81,Low
VND00477,0.114,0.112,17,9.04,Low
VND00478,0.179,0.044,14,8.94,Low
VND00479,0.298,0.329,9,25.1,Medium
VND00480,0.049,0.196,9,9.83,Low
VND00481,0.045,0.154,10,7.97,Low
VND00482,0.145,0.218,6,14.48,Low
VND00483,0.01,0.228,1,9.54,Low
VND00484,0.048,0.337,17,15.4,Low
VND00485,0.071,0.206,18,11.07,Low
VND00486,0.075,0.068,8,5.74,Low
VND00487,0.081,0.123,11,8.17,Low
VND00488,0.071,0.092,10,6.52,Low
VND00489,0.066,0.1,1,6.64,Low
VND00490,0.021,0.317,6,13.52,Low
VND00491,0.262,0.132,3,15.75,Low
VND00492,0.175,0.237,4,16.47,Low
VND00493,0.008,0.242,16,9.97,Low
VND00494,0.082,0.384,3,18.65,Low
VND00495,0.064,0.397,16,18.46,Low
VND00496,0.16,0.386,7,21.86,Low
VND00497,0.127,0.295,7,16.91,Low
VND00498,0.121,0.346,15,18.67,Low
VND00499,0.033,0.377,4,16.37,Low
VND00500,0.244,0.296,17,21.62,Low
VND00501,0.123,0.151,6,10.95,Low
VND00502,0.086,0.296,8,15.28,Low
VND00503,0.056,0.064,0,4.81,Low
VND00504,0.188,0.03,12,8.72,Low
VND00505,0.102,0.19,9,11.68,Low
VND00506,0.062,0.033,18,3.78,Low
VND00507,0.224,0.164,11,15.52,Low
VND00508,0.061,0.005,4,2.65,Low
VND00509,0.103,0.129,6,9.28,Low
VND00510,0.027,0.272,5,11.96,Low
VND00511,0.098,0.174,5,10.9,Low
VND00512,0.125,0.179,1,12.17,Low
VND00513,0.201,0.209,20,16.4,Low
VND00514,0.005,0.09,11,3.81,Low
VND00515,0.109,0.319,3,17.13,Low
VND00516,0.043,0.314,7,14.26,Low
VND00517,0.167,0.308,3,19.0,Low
VND00518,0.143,0.209,1,14.09,Low
VND00519,0.052,0.059,19,4.42,Low
VND00520,0.064,0.323,9,15.5,Low
VND00521,0.082,0.271,3,14.12,Low
VND00522,0.005,0.003,1,0.32,Low
VND00523,0.267,0.288,2,22.2,Low
VND00524,0.171,0.238,6,16.37,Low
VND00525,0.203,0.236,19,17.54,Low
VND00526,0.077,0.122,11,7.94,Low
VND00527,0.059,0.258,18,12.65,Low
VND00528,0.06,0.248,2,12.29,Low
VND00529,0.218,0.135,16,14.12,Low
VND00530,0.281,0.396,10,27.07,Medium
VND00531,0.295,0.261,5,22.23,Low
VND00532,0.041,0.286,3,13.09,Low
VND00533,0.041,0.085,0,5.05,Low
VND00534,0.075,0.281,12,14.27,Low
VND00535,0.22,0.149,10,14.74,Low
VND00536,0.014,0.334,2,13.9,Low
VND00537,0.06,0.13,0,7.63,Low
VND00538,0.051,0.225,8,11.06,Low
VND00539,0.132,0.099,0,9.24,Low
VND00540,0.065,0.255,12,12.79,Low
VND00541,0.255,0.029,12,11.38,Low
VND00542,0.294,0.209,1,20.12,Low
VND00543,0.225,0.107,20,13.28,Low
VND00544,0.108,0.144,0,10.09,Low
VND00545,0.179,0.153,15,13.28,Low
VND00546,0.215,0.397,4,24.49,Low
VND00547,0.1,0.326,5,17.05,Low
VND00548,0.188,0.295,15,19.29,Low
VND00549,0.287,0.109,11,15.83,Low
VND00550,0.258,0.176,4,17.36,Low
VND00551,0.007,0.241,19,9.91,Low
VND00552,0.088,0.276,18,14.58,Low
VND00553,0.195,0.156,13,14.04,Low
VND00554,0.229,0.356,7,23.4,Low
VND00555,0.246,0.139,17,15.42,Low
VND00556,0.086,0.336,18,16.9,Low
VND00557,0.108,0.293,17,16.06,Low
VND00558,0.176,0.159,4,13.41,Low
VND00559,0.062,0.267,20,13.18,Low
VND00560,0.114,0.39,1,20.14,Low
VND00561,0.171,0.379,19,21.98,Low
VND00562,0.081,0.227,17,12.32,Low
VND00563,0.252,0.303,9,22.2,Low
VND00564,0.185,0.116,9,12.05,Low
VND00565,0.245,0.326,0,22.85,Low
VND00566,0.103,0.24,0,13.74,Low
VND00567,0.23,0.123,7,14.12,Low
VND00568,0.282,0.089,10,14.84,Low
VND00569,0.153,0.398,10,22.05,Low
VND00570,0.284,0.372,20,26.24,Medium
VND00571,0.166,0.214,9,15.24,Low
VND00572,0.167,0.117,4,11.36,Low
VND00573,0.062,0.107,16,6.76,Low
VND00574,0.145,0.132,4,11.09,Low
VND00575,0.194,0.307,7,20.03,Low
VND00576,0.232,0.264,4,19.84,Low
VND00577,0.211,0.221,13,17.28,Low
VND00578,0.112,0.174,5,11.42,Low
VND00579,0.17,0.109,11,11.15,Low
VND00580,0.279,0.015,3,11.77,Low
VND00581,0.104,0.101,5,8.21,Low
VND00582,0.002,0.338,1,13.63,Low
VND00583,0.216,0.313,13,21.16,Low
VND00584,0.195,0.041,20,9.46,Low
VND00585,0.252,0.177,7,17.19,Low
VND00586,0.009,0.315,0,12.97,Low
VND00587,0.29,0.284,15,22.96,Low
VND00588,0.065,0.154,16,8.75,Low
VND00589,0.285,0.295,14,23.2,Low
VND00590,0.1,0.345,19,17.8,Low
VND00591,0.104,0.391,9,19.76,Low
VND00592,0.292,0.279,9,22.81,Low
VND00593,0.193,0.229,5,16.9,Low
VND00594,0.056,0.264,8,12.81,Low
VND00595,0.065,0.346,13,16.42,Low
VND00596,0.003,0.368,2,14.83,Low
VND00597,0.148,0.153,9,12.02,Low
VND00598,0.187,0.237,14,16.97,Low
VND00599,0.268,0.285,14,22.15,Low
VND00600,0.124,0.11,3,9.36,Low
VND00601,0.095,0.292,14,15.48,Low
VND00602,0.186,0.368,19,22.17,Low
VND00603,0.293,0.164,6,18.25,Low
VND00604,0.158,0.087,11,9.8,Low
VND00605,0.012,0.232,17,9.78,Low
VND00606,0.028,0.38,6,16.32,Low
VND00607,0.04,0.037,12,3.06,Low
VND00608,0.263,0.239,19,20.07,Low
VND00609,0.12,0.111,3,9.21,Low
VND00610,0.077,0.17,2,9.86,Low
VND00611,0.027,0.091,15,4.74,Low
VND00612,0.298,0.181,13,19.13,Low
VND00613,0.069,0.266,15,13.39,Low
VND00614,0.179,0.355,5,21.38,Low
VND00615,0.136,0.384,16,20.79,Low
VND00616,0.036,0.037,1,2.9,Low
VND00617,0.022,0.357,13,15.14,Low
VND00618,0.013,0.389,20,16.11,Low
VND00619,0.111,0.052,12,6.54,Low
VND00620,0.243,0.105,15,13.93,Low
VND00621,0.006,0.2,5,8.22,Low
VND00622,0.089,0.207,4,11.83,Low
VND00623,0.163,0.336,5,19.94,Low
VND00624,0.167,0.144,2,12.43,Low
VND00625,0.117,0.013,3,5.2,Low
VND00626,0.237,0.172,14,16.37,Low
VND00627,0.13,0.205,8,13.4,Low
VND00628,0.165,0.162,19,13.11,Low
VND00629,0.237,0.15,4,15.46,Low
VND00630,0.105,0.09,15,7.76,Low
